periodo,BA Cerrado,BA Planalto,ES,GO,MG Sul e CentroOeste,MG Triângulo Alto Paranaiba e Noroeste,MG Zona da Mata Rio Doce e Central,MT,Norte Jequitinhonha e Mucuri,PR,RJ,SP
2001,0.0,0.0,1900.0,0.0,7600.0,3100.0,3950.0,40.0,0.0,540.0,150.0,3520.0
2002,0.0,0.0,2500.0,0.0,13200.0,5100.0,6800.0,60.0,0.0,2340.0,240.0,5800.0
2003,0.0,0.0,1600.0,0.0,5360.0,2810.0,3850.0,30.0,0.0,1970.0,120.0,2810.0
2004,0.0,0.0,2295.0,0.0,0.0,0.0,0.0,30.0,0.0,2526.0,250.0,5870.0
2005,0.0,0.0,2056.0,0.0,6750.0,2886.0,5553.0,40.0,0.0,1435.0,288.0,3223.0
2006,0.0,0.0,2128.0,0.0,12043.0,4313.0,5601.0,25.0,0.0,2248.0,255.0,4470.0
2007,0.0,0.0,2167.0,0.0,7265.5,3255.0,5916.0,11.4,0.0,1732.0,269.4,2632.0
2008,0.0,0.0,2867.0,0.0,12118.0,4534.0,6893.0,12.0,0.0,2608.0,253.0,4420.0
2009,436.0,895.5,2603.0,0.0,9750.0,3859.0,5989.0,11.0,0.0,1467.0,252.0,3423.0
2010,485.5,1242.4,2792.0,0.0,12616.0,5652.0,6635.0,16.3,0.0,2284.0,237.6,4662.0
2011,429.0,1119.9,3079.0,0.0,10442.0,4001.0,7439.0,11.0,0.0,1842.0,247.0,3111.5
2012,527.7,808.8,2789.0,247.4,13792.0,6231.0,6621.0,2.5,0.0,1580.0,262.2,5356.6
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
